_id	budget	country	genres	imdb_score	metascore	opening_usa	production_companies	release_date	title	usa_gross	worldwide_gross
5af5ed2f9a5d8daabb72a41a	70000000	USA	['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']	6.4	46.0	70217070.0	['Universal Pictures', 'Illumination Entertainment']	2012-03-02	The Lorax	214030500	348840316.0
5af5ed2f9a5d8daabb72a41b	40000000	USA	['Action', 'Adventure', 'Sci-Fi', 'Thriller']	6.4	51.0	24760882.0	['Twentieth Century Fox', 'Troublemaker Studios', 'Davis Entertainment', 'Dune Entertainment III']	2010-07-09	Predators	52000688	127233108.0
5af5ed2f9a5d8daabb72a421	6000000	China	['Drama', 'History']	6.1	42.0	134005.0	['IDG China Media']	2011-06-24	Snow Flower and the Secret Fan	1348205	11348205.0
5af5ed2f9a5d8daabb72a424	3600000	France	['Drama', 'Romance']	6.6	80.0	21077.0	['Les Films Pelléas', 'Razor Film Produktion GmbH', 'Arte France Cinéma', 'WDR / Arte', 'Rhône-Alpes Cinéma', 'Jouror Productions', 'Arte France', 'Canal+', 'CinéCinéma', 'Centre National de la Cinématographie (CNC)', 'Filmförderungsanstalt (FFA)', 'Medienboard Berlin-Brandenburg', 'Région Ile-de-France', 'Région Rhône-Alpes', 'Cinémage 5', 'Cofimage 22']	2011-07-06	Goodbye First Love	64925	
5af5ed2f9a5d8daabb72a42a	7000000	Spain	['Drama', 'Fantasy', 'Sci-Fi']	6.7	57.0	10395.0	['Canal+ España', 'Canal+', 'Escándalo Films', 'Generalitat de Catalunya - Institut Català de les Indústries Culturals (ICIC)', 'ICF Institut Català de Finances', 'Instituto Buñuel', 'Instituto de Crédito Oficial (ICO)', 'Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)', 'Ran Entertainment', 'Saga-Productions', 'Televisió de Catalunya (TV3)', 'Televisión Española (TVE)', 'Wild Bunch']	2015-03-13	Eva	10395	
5af5ed2f9a5d8daabb72a447	1200000	USA	['Comedy', 'Drama', 'Romance']	8.4		52171.0	['Check the Gate Productions', 'Film Incito', 'Five Stones Films', 'Red Entertainment Group']	2017-09-15	Because Of Grácia	90878	
5af5ed2f9a5d8daabb72a459	36000000	Spain	['Biography', 'Drama', 'War']	5.8	33.0	705537.0	['Antena 3 Films', 'Mount Santa Fe', 'Ransom Films']	2011-03-25	There Be Dragons	1065439	
5af5ed2f9a5d8daabb72a462	1000000	USA	['Drama']	6.8	32.0	102096.0	['Gravitas', 'Provident Films']	2013-04-12	October Baby	5355847	
5af5ed2f9a5d8daabb72a464	30000000000	South Korea	['Action', 'Drama', 'War']	7.8	30.0	17817.0	['Directors', 'SK Planet', 'CJ Entertainment']	2012-04-20	My Way	67330	
5af5ed2f9a5d8daabb72a468	5000000	USA	['Drama', 'Family', 'Fantasy', 'Sport']	6.5	56.0	66993.0	['Freedom Films', 'Palo Verde', 'Hannibal Classics', 'Sakonnet Capital Partners', 'Emmett/Furla/Oasis Films (EFO Films)']	2012-04-13	Touchback	204068	
5af5ed2f9a5d8daabb72a469	2500000	USA	['Drama']	6.3	74.0	21495.0	['Authentic Management Productions', 'BCDF Pictures', 'Group Entertainment, The', 'Ruminant Films']	2012-03-01	Higher Ground	841206	
5af5ed2f9a5d8daabb72a46a	6000000	Poland	['Animation', 'Drama', 'Thriller']	6.8			['Mediabrigade', 'Odra Film', 'Polski Instytut Sztuki Filmowej', 'Studio Filmowe Kadr']	2011-03-04	Suicide Room	7226940	
5af5ed2f9a5d8daabb72a473	450000	USA	['Drama']	7.2	79.0	48579.0	['Chicken And Egg Pictures', 'MBK Entertainment', 'Northstar Pictures', 'Pariah Feature', 'Sundial Pictures', 'aid abet']	2011-01-20	Pariah	758099	
5af5ed2f9a5d8daabb72a474	3850000	Finland	['Comedy', 'Drama']	7.2	82.0	26363.0	['Sputnik', 'Pyramide Productions', 'Pandora Filmproduktion', 'Arte France Cinéma', 'ZDF/Arte', 'Finnish Film Foundation', 'Canal+', 'Nordisk Film- & TV-Fond', 'Centre National de la Cinématographie (CNC)', 'Yleisradio (YLE)', 'CinéCinéma', 'Arte France', 'Région Haute-Normandie', 'Pôle Image Haute-Normandie']	2011-09-08	Le Havre	611709	
5af5ed2f9a5d8daabb72a475	20000000	Georgia	['Action', 'Drama', 'War']	5.6	31.0	6254.0	['Rex Media', 'Georgia International Films', 'Midnight Sun Pictures', 'Dispictures']	2011-06-06	5 Days of War	17149	
5af5ed2f9a5d8daabb72a47c	29000000	Hong Kong	['Action', 'Drama']	6.9	53.0	19132.0	['Emperor Classic Films', 'China Film Group', 'Huayi Brothers Media', 'Beijing Silver Moon Productions', 'Shaolin Temple Culture Communication']	2011-01-27	Shaolin	64327	
5af5ed2f9a5d8daabb72a480	15000000	USA	['Crime', 'Drama', 'Thriller']	5.1	36.0	18015.0	['Millennium Films', 'Millennium Films', 'Hannibal Pictures', 'SONO Production', 'Son Of No One Production']	2011-07-09	The Son of No One	28870	1335012.0
5af5ed2f9a5d8daabb72a487	30000000	USA	['Animation', 'Action', 'Comedy', 'Crime', 'Family', 'Mystery']	4.8	20.0	4108630.0	['The Weinstein Company', 'Kanbar Entertainment', 'HW Two']	2011-04-29	Hoodwinked Too! Hood vs. Evil	10143779	23352752.0
5af5ed2f9a5d8daabb72a495	3000000	USA	['Horror']	3.7	31.0	327000.0	['Bubble Factory, The', 'Lockjaw Productions']	2011-09-09	Creature	327000	
5af5ed2f9a5d8daabb72a4a1	2000000	USA	['Comedy', 'Drama']	5.9	66.0	13551.0	['Double Hope Films']	2012-06-29	Dark Horse	940430	
5af5ed2f9a5d8daabb72a4a2	20000000	USA	['Comedy', 'Family']	4.2	37.0	6076859.0	['Relativity Media', 'Smokewood Entertainment Group']	2011-06-10	Judy Moody and the Not Bummer Summer	15000994	
5af5ed2f9a5d8daabb72a4a5	25000000	USA	['Comedy', 'Drama']	4.6	45.0	25068677.0	['Tyler Perry Company, The']	2011-04-22	Madea's Big Happy Family	53345287	54161287.0
5af5ed2f9a5d8daabb72a4a8	24000000	India	['Action', 'Adventure', 'Sci-Fi']	4.8	60.0	1654023.0	['Red Chillies Entertainment', 'Eros International', 'Prana Studios', 'Prime Focus', 'Redchillies.VFX', 'Tata Elxsi Visual Computing Lab', 'Winford Productions']	2011-10-26	Ra.One	2511689	35911689.0
